timestamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
1780662752861,0.614269,0.714355,-2.24629e-08,0.530988,0.679049,-0.0351519,0.487796,0.608044,-0.0721415,0.465137,0.564616,-0.0958601,0.463989,0.537234,-0.11735,0.523717,0.508174,-0.100938,0.485179,0.468666,-0.125672,0.458961,0.483646,-0.141216,0.471198,0.516339,-0.159652,0.533462,0.505844,-0.0896854,0.550479,0.481513,-0.138129,0.534888,0.508833,-0.168464,0.534623,0.526803,-0.191667,0.565567,0.502434,-0.072869,0.584798,0.481099,-0.120204,0.552828,0.510847,-0.167046,0.508833,0.536107,-0.199361,0.599234,0.511939,-0.0531074,0.593613,0.488008,-0.0962603,0.569755,0.499521,-0.133087,0.539303,0.499614,-0.161486
1780662752895,0.615752,0.712405,-2.32089e-08,0.531777,0.682615,-0.0349503,0.48686,0.612356,-0.0723838,0.462202,0.566721,-0.0966232,0.459524,0.536567,-0.118662,0.522479,0.510181,-0.102657,0.482979,0.470005,-0.128645,0.456209,0.486025,-0.144606,0.468303,0.519255,-0.163286,0.534293,0.50513,-0.0920803,0.549431,0.480763,-0.142049,0.534886,0.509502,-0.172585,0.536321,0.527943,-0.195844,0.568211,0.500107,-0.0759266,0.586793,0.47796,-0.124919,0.55685,0.509676,-0.171662,0.515194,0.5365,-0.203708,0.604049,0.508548,-0.0567646,0.596838,0.485417,-0.10139,0.573609,0.497279,-0.138482,0.544592,0.497318,-0.166894
1780662752930,0.616948,0.710694,-2.2754e-08,0.528304,0.684061,-0.036436,0.480785,0.618481,-0.0754607,0.453096,0.580026,-0.101062,0.449621,0.556327,-0.124395,0.517875,0.513159,-0.106711,0.478769,0.476163,-0.134237,0.45474,0.497504,-0.150876,0.468813,0.535574,-0.169788,0.53299,0.508272,-0.0956326,0.551091,0.486218,-0.146609,0.538623,0.520835,-0.17716,0.540032,0.543019,-0.200441,0.570122,0.50398,-0.0789523,0.59032,0.484605,-0.12818,0.560762,0.519751,-0.174292,0.518904,0.548711,-0.206082,0.608377,0.513485,-0.0594377,0.603415,0.492276,-0.103946,0.580176,0.506707,-0.14047,0.551818,0.508738,-0.168552
1780662752961,0.621912,0.713856,-2.3014e-08,0.531873,0.68965,-0.039582,0.481196,0.62416,-0.0801128,0.451152,0.587362,-0.106694,0.445719,0.565471,-0.130982,0.516449,0.512865,-0.110046,0.476236,0.476876,-0.138765,0.453499,0.500206,-0.15634,0.469015,0.539477,-0.17584,0.533411,0.508293,-0.0977589,0.546621,0.487422,-0.149553,0.534844,0.526101,-0.180831,0.538066,0.549411,-0.204631,0.573092,0.504414,-0.0800899,0.588608,0.486849,-0.129824,0.560824,0.52353,-0.176485,0.521859,0.551929,-0.208732,0.614586,0.514627,-0.0598536,0.607618,0.494043,-0.1048,0.586026,0.509947,-0.141669,0.561063,0.511709,-0.170022
1780662752995,0.616407,0.714875,-2.32932e-08,0.533651,0.692342,-0.0407554,0.485654,0.62711,-0.0816131,0.456789,0.590996,-0.108144,0.453057,0.569193,-0.13242,0.513877,0.510284,-0.111616,0.473636,0.478899,-0.140425,0.451882,0.503638,-0.158126,0.468174,0.542832,-0.177706,0.527781,0.50426,-0.098624,0.538145,0.491264,-0.149944,0.529289,0.533094,-0.180754,0.534758,0.557075,-0.204417,0.565951,0.499911,-0.0803269,0.580826,0.48824,-0.129681,0.557084,0.526541,-0.176287,0.520455,0.554642,-0.208717,0.607277,0.510126,-0.0595283,0.601338,0.493012,-0.104489,0.582567,0.509759,-0.141515,0.559008,0.510856,-0.17003
1780662753026,0.613802,0.715493,-2.34513e-08,0.532053,0.690104,-0.039185,0.486074,0.622234,-0.0789634,0.459273,0.581476,-0.104818,0.456781,0.554671,-0.128462,0.513491,0.508544,-0.107629,0.473727,0.475334,-0.135189,0.45123,0.495671,-0.152488,0.468128,0.531115,-0.172014,0.527711,0.502299,-0.095302,0.537946,0.486847,-0.145983,0.52825,0.523524,-0.177084,0.53465,0.544043,-0.200904,0.566145,0.497485,-0.0776769,0.580329,0.482435,-0.126935,0.555445,0.517689,-0.173953,0.519265,0.543406,-0.206505,0.607708,0.50687,-0.0574035,0.59909,0.486608,-0.10242,0.579092,0.501421,-0.139718,0.555668,0.50087,-0.168384
1780662753060,0.613417,0.715183,-2.36638e-08,0.53646,0.690026,-0.0390303,0.49286,0.621153,-0.0788293,0.467595,0.578798,-0.104629,0.466484,0.551369,-0.128119,0.520351,0.509383,-0.108262,0.475013,0.483781,-0.136474,0.451723,0.508667,-0.154081,0.47036,0.547548,-0.173607,0.534168,0.503493,-0.0956729,0.540868,0.496612,-0.14717,0.532876,0.539107,-0.178556,0.541759,0.562324,-0.202384,0.571501,0.498286,-0.0777104,0.582158,0.490091,-0.127608,0.557424,0.527616,-0.174688,0.522111,0.554789,-0.207141,0.610532,0.506404,-0.0570165,0.598431,0.491237,-0.1019,0.576994,0.508196,-0.139052,0.552538,0.509006,-0.167624
1780662753094,0.610323,0.70849,-2.34363e-08,0.543804,0.68554,-0.0386912,0.504533,0.618189,-0.0790488,0.479811,0.577943,-0.105618,0.478065,0.55091,-0.129943,0.518707,0.509862,-0.109177,0.474552,0.484024,-0.138072,0.452649,0.508741,-0.15606,0.47109,0.547346,-0.175828,0.525943,0.504232,-0.0972134,0.532457,0.497393,-0.149311,0.52529,0.54019,-0.180721,0.534167,0.562098,-0.204565,0.558699,0.497751,-0.0798168,0.571305,0.489086,-0.130018,0.54706,0.526558,-0.176624,0.51113,0.553604,-0.208817,0.595669,0.503723,-0.0596744,0.586241,0.487329,-0.104544,0.565632,0.503686,-0.141324,0.540081,0.504198,-0.169742
1780662753127,0.612794,0.717345,-2.29517e-08,0.542375,0.687561,-0.0379883,0.503042,0.615466,-0.0770837,0.480519,0.572147,-0.102387,0.481008,0.543191,-0.125466,0.522982,0.510589,-0.106497,0.479017,0.473697,-0.133539,0.456618,0.493427,-0.150358,0.473511,0.528247,-0.169482,0.529415,0.505701,-0.0941715,0.534926,0.485555,-0.144459,0.527428,0.522265,-0.174898,0.535072,0.541694,-0.198095,0.561079,0.500214,-0.0764543,0.572115,0.480821,-0.125088,0.548875,0.516629,-0.171175,0.513264,0.543641,-0.203006,0.596381,0.507949,-0.0559883,0.586784,0.484411,-0.0999698,0.567959,0.499252,-0.136512,0.544129,0.498884,-0.164701
1780662753161,0.610221,0.712383,-2.3252e-08,0.547119,0.683865,-0.0348165,0.511949,0.614657,-0.0726965,0.48887,0.572378,-0.0973745,0.488576,0.544241,-0.119831,0.530848,0.511559,-0.102941,0.489106,0.475697,-0.128914,0.4657,0.494728,-0.145114,0.481765,0.529084,-0.163884,0.532424,0.504322,-0.0920833,0.537769,0.483286,-0.141288,0.526429,0.515946,-0.171311,0.533045,0.53452,-0.194378,0.558034,0.496263,-0.075601,0.569239,0.474333,-0.12296,0.544207,0.506056,-0.168625,0.509621,0.531158,-0.200452,0.586778,0.501388,-0.0561591,0.576501,0.476115,-0.0990027,0.55706,0.488917,-0.134997,0.534031,0.488338,-0.163054
1780662753194,0.612212,0.714573,-2.29171e-08,0.54135,0.688631,-0.0362389,0.501851,0.617145,-0.0743553,0.479394,0.574186,-0.0990637,0.479489,0.548154,-0.12156,0.524937,0.517315,-0.104646,0.479671,0.483868,-0.131801,0.454218,0.503755,-0.148796,0.468804,0.5388,-0.168055,0.532798,0.510929,-0.0933629,0.530812,0.490349,-0.144205,0.516645,0.518648,-0.175556,0.521244,0.535402,-0.199572,0.563442,0.503742,-0.07661,0.566482,0.483514,-0.125747,0.539787,0.513049,-0.17274,0.504212,0.537171,-0.20526,0.596136,0.509732,-0.0569882,0.578757,0.487111,-0.10154,0.556356,0.497794,-0.13875,0.531581,0.495285,-0.167556
1780662753227,0.621258,0.712675,-2.28225e-08,0.542087,0.683164,-0.0359877,0.497814,0.608332,-0.0737666,0.475043,0.562366,-0.0981375,0.477093,0.535939,-0.120419,0.528262,0.512548,-0.104277,0.489676,0.467553,-0.13076,0.462293,0.475332,-0.147677,0.473192,0.500567,-0.167204,0.538339,0.50723,-0.0934134,0.540979,0.47341,-0.144197,0.522047,0.485132,-0.175942,0.522956,0.492115,-0.200342,0.570124,0.50095,-0.0769708,0.572958,0.472732,-0.125718,0.540891,0.490171,-0.172671,0.501467,0.503953,-0.205288,0.603503,0.507022,-0.057731,0.582747,0.479247,-0.101883,0.557108,0.486154,-0.13899,0.53145,0.480346,-0.167896
1780662753261,0.622841,0.709077,-2.22138e-08,0.545073,0.679241,-0.0347015,0.504318,0.606261,-0.0716889,0.485439,0.5632,-0.0953286,0.489427,0.542374,-0.116745,0.527986,0.51304,-0.102587,0.485925,0.469059,-0.127925,0.459053,0.476042,-0.144075,0.470067,0.500965,-0.162951,0.535751,0.506574,-0.0913869,0.534935,0.475354,-0.140625,0.517278,0.486089,-0.17128,0.517934,0.494392,-0.194934,0.566346,0.499734,-0.0744453,0.565416,0.475693,-0.121672,0.534709,0.492231,-0.167795,0.495088,0.507865,-0.199862,0.599056,0.506457,-0.0546654,0.574341,0.480735,-0.097242,0.54972,0.487347,-0.133488,0.524435,0.483419,-0.161838
1780662753294,0.619058,0.699366,-2.288e-08,0.540674,0.676939,-0.0365662,0.500435,0.6052,-0.074756,0.484068,0.562873,-0.0995336,0.488981,0.544901,-0.121914,0.522624,0.507119,-0.104264,0.481125,0.470707,-0.131137,0.457561,0.4821,-0.14801,0.471218,0.510177,-0.167299,0.532293,0.498732,-0.0931761,0.534194,0.472226,-0.144508,0.517698,0.48615,-0.17615,0.517696,0.4952,-0.200225,0.565691,0.490446,-0.0766333,0.568024,0.470907,-0.125983,0.538033,0.488844,-0.172781,0.497058,0.504028,-0.204972,0.602262,0.496421,-0.0573746,0.581349,0.47402,-0.101349,0.555269,0.481177,-0.138042,0.526495,0.477179,-0.166575
1780662753328,0.614024,0.706453,-2.29431e-08,0.536685,0.678683,-0.0367296,0.496478,0.599904,-0.0745197,0.480275,0.54948,-0.098142,0.485606,0.522451,-0.119457,0.522978,0.507117,-0.108103,0.486909,0.459474,-0.134407,0.463286,0.462097,-0.150594,0.475423,0.482057,-0.169657,0.5323,0.498471,-0.0961763,0.537897,0.465299,-0.146032,0.519525,0.47194,-0.175842,0.517215,0.475965,-0.199255,0.563927,0.491097,-0.0784895,0.56834,0.470294,-0.126164,0.538134,0.485962,-0.171583,0.497555,0.498635,-0.203393,0.59705,0.49818,-0.0580707,0.577656,0.47828,-0.101544,0.554565,0.485838,-0.138019,0.529418,0.480441,-0.166454
1780662753360,0.599254,0.698647,-2.24341e-08,0.535682,0.68005,-0.0381831,0.508516,0.609258,-0.0775098,0.502106,0.565682,-0.102679,0.514242,0.542544,-0.125405,0.52119,0.510804,-0.110152,0.489381,0.468233,-0.138485,0.46596,0.478071,-0.155819,0.477092,0.505618,-0.175312,0.525466,0.499355,-0.0980306,0.538232,0.471055,-0.150182,0.51732,0.488178,-0.181346,0.512336,0.500168,-0.205255,0.552583,0.488529,-0.0802495,0.564683,0.471197,-0.129977,0.529826,0.494493,-0.176236,0.484428,0.51355,-0.208234,0.582587,0.491369,-0.0597981,0.567981,0.474674,-0.104326,0.541628,0.485591,-0.141141,0.511864,0.482551,-0.169713
1780662753394,0.605412,0.702795,-2.27706e-08,0.547143,0.688129,-0.0414751,0.520678,0.61694,-0.0824738,0.511981,0.572619,-0.10848,0.522971,0.548735,-0.13217,0.520737,0.514964,-0.116102,0.4886,0.475756,-0.146847,0.464784,0.488793,-0.165572,0.476345,0.517864,-0.185804,0.521964,0.502895,-0.102654,0.533403,0.480011,-0.156312,0.514191,0.504257,-0.188041,0.510399,0.520388,-0.212494,0.547826,0.491738,-0.0837229,0.558993,0.476529,-0.135031,0.528044,0.505168,-0.181985,0.48653,0.528434,-0.214564,0.57779,0.493786,-0.062267,0.562279,0.477581,-0.108465,0.540005,0.491461,-0.146051,0.514246,0.491548,-0.175138
1780662753427,0.602876,0.702113,-2.21427e-08,0.540095,0.679403,-0.0365171,0.514584,0.610308,-0.074346,0.509033,0.568863,-0.0981303,0.523808,0.545164,-0.119656,0.523889,0.514752,-0.106345,0.494631,0.481497,-0.132436,0.473195,0.499686,-0.149051,0.488001,0.534315,-0.168091,0.527887,0.506843,-0.093757,0.542866,0.487335,-0.142596,0.527202,0.515363,-0.17342,0.526576,0.53575,-0.197587,0.554867,0.497484,-0.0752475,0.568867,0.485376,-0.121038,0.540058,0.517335,-0.167082,0.501069,0.544366,-0.199897,0.584664,0.498843,-0.0540296,0.571129,0.484028,-0.0955391,0.550674,0.500663,-0.13166,0.528439,0.502967,-0.160298
